question,answer
XDR产品定位是什么？,深信服XDR是一种安全威胁检测和事件响应平台，通过原生的流量采集工具与端点采集工具收集关键数据，通过网端聚合分析引擎对数据进行上下文关联分析，实现攻击链深度溯源，结合托管检测与响应服务MDR，释放人员精力；同时具备可扩展的接口开放性，协同SOAR等产品，化繁为简，带来深度检测、精准响应、持续生长的安全效果体验。
XDR设计理念是什么？,"深信服XDR专注于应对安全挑战、解决行业痛点，设计理念围绕以下三大思路：
1）XDR为网络空间安全提供统一的全局视野。EDR/CWPP横跨各种终端、AF/STA/SIP覆盖网络、SaaS应用、云基础设施等网络资源，通过终端侧、网络侧遥测数据智能采集技术，真正实现网络空间全面可见性。XDR平台将各遥测点采集的遥测数据进行泛化、格式化，再聚合和分析，深度了解所保护或监控的对象中是否存在的安全风险与攻击（包括隐蔽风险与攻击），甚至可以回溯之前已经发生过的相关安全事件，让网络安全不仅具备可观测性，更具有可见预判性。解决了以往安全设备孤岛式分布，无法真正协同工作的问题。
2） XDR通过详尽的攻击可视化，提升安全研判及溯源的效率。通过端、网、云等遥测数据关联技术，构建完整的高质量场景化故事链，以清晰呈现事件的全过程。同时IOA+IOC等检测技术的融合，网+端实现攻击路径中各节点行为痕迹的自动化关联分析，不仅可以发现未知威胁行为，更能持续提升检测精度。解决了之前主要基于规则识别，未知威胁难以应对，并且海量告警难以处置，导致安全事件处置碎片化的难题。
3）XDR通过智能聚合与关联，驱动安全运营人员由关注告警（Alerts）向注重事件（Incidents）的质变。能有效降低大量告警噪音数据，为安全运维和分析人员减负。同时借助于深信服SaaS能力赋能，云端情报让企业快速感知社区价值，云端算力加持保证安全能力实时更新，云端XTH威胁狩猎团队对XDR产生的安全事件进行7*24小时研判，研判后的事件会打上XTH标签，事件准确率高达99.9%，以方便用户及时处置威胁，能够有效解决企业安全运营效率低下的难题。"
XDR的组成有哪些部分？,"深信服XDR平台采用“平台+组件+服务”的方式，平台支持SaaS化和分布式本地版化两种部署方式，组件包括：
- 网络流量采集工具：下一代防火墙AF/威胁检测探针STA/SIP一体机/态势感知SIP/NDR	- 端点行为采集工具：EDR探针版/EDR全量版/CWPP	- 其他遥测点采集工具：容器数据采集工具、邮件数据采集工具……
- 可选响应组件：上网行为管理AC、AF、云镜……"
XDR提供哪些服务？,"深信服的XDR中服务包括MDR和MSS服务。MDR围绕托管检测与响应服务，以及事件响应服务，提供以下能力：
- 7*24H威胁鉴定和通告：安全专家依托于安全能力平台的大数据分析和威胁检测能力实时监测用户网络安全状态，对平台监测到的安全威胁进行分析鉴定，识别到真正的安全事件。并对分析鉴定后的各类威胁告警、安全事件生成服务工单，并及时向用户通告；
- 云端专家实时答疑：安全专家对用户咨询或上报的安全问题进行及时响应并给出建议，如主机加固建议咨询、安全事件处置建议咨询等；
- 深度威胁狩猎：安全专家可针对内/外网或特定业务系统及特定漏洞，基于客户业务定制检测逻辑，尽可能快地发现漏洞或攻击痕迹，发现潜在的安全隐患和已失陷的主机/被钓鱼成功的员工/账密信息泄露等，最大限度地降低攻击者造成的危害，评估造成的损失等内容，最终帮助客户验证风险并推动发现的问题和隐患进行闭环处理；
- 安全事件调查：安全专家7*24H在线服务，对XDR平台产生的安全事件进行深度分析和调查，帮助用户分析和判断事件影响范围，并深度溯源事件入侵的原因，输出《事件调查报告》；
- 安全事件响应处置：安全专家7*24小时在线响应，协助用户对一般事件（如木马病毒、挖矿病毒、恶意攻击等）进行远程处置，输出《事件处置报告》；针对重大事件，安全专家协助用户对网络内发生的重大安全事件进行处置，包括对事件进行紧急遏制、检测和分析事件的影响范围、开展事件的溯源调查、提供响应后的安全加固方案等内容，输出《应急响应报告》；
- 服务成果可视化：安全月报，安全专家对每月的安全情况进行月度总结并形成快报进行推送；半年汇报，安全专家总结半年度安全服务情况并输出《半年度MDR服务总结报告》，并向用户进行总结汇报；年度汇报：安全专家总结年度安全服务情况并输出《年度MDR服务总结报告》，并向用户进行总结汇报。
MSS服务是围绕资产、漏洞、威胁、事件构建的安全托管服务，相较于MDR服务内容更广、更多，此处不再赘述。"
XDR产品有什么特点？,"1）深信服XDR支持SaaS化/本地版XDR平台两种部署方式，支持原生的NDR（STA/SIP/SIP一体机/NDR）、EDR （EDR探针版、EDR全量版、CWPP）、 上网行为管理AC、下一代防火墙AF、云镜等组件，可以方便的组合使用。本地版XDR可以接入第三方数据。
2） 深信服XDR采用业界领先的数据湖技术，有统一的安全数据可供分析和查询。
3） 网络侧，端点侧以及云端相互配合和协调，可以更快，更精准的发现高级复杂威胁及攻击，实现对整个攻击面全面可视化。网络侧（AF）和端点侧（EDR/CWPP）联动处理改变单一产品的响应过程。
4）凭借IOA、IOC检测技术结合、网端关联聚合分析，对于无文件攻击、白利用、凭证窃取、加密流量、0day漏洞、挖矿、无回包攻击成功、隧道代理、恶意下载、鱼叉钓鱼、进程注入、免杀工具等威胁类型有显著检测能力优势；对于Webshell场景、加密挖矿、精准漏洞攻击、数据外泄、恶意软件溯源、跨进程链关联、跨终端安全事件存在高可见性优势；在响应处置方面，存在可推荐跨进程链的处置对象的优势。"
XDR产品的架构是怎样的？,在过去几十年的时间里，软件架构和应用程序托管模型经历了多次重大转变，从中心化到去中心化，从虚拟机托管到云托管，再到微服务和容器技术。企业也在不断更新适合自己的架构模式和最佳实践。深信服XDR平台采用业界领先的Kubernetes容器编排技术+微服务架构，从数据采集到最终的安全可视呈现形成完整的层次结构。每一层具体的职责描述如下：
XDR是如何处理线上和线下业务的？,"深信服的XDR采用线上线下同架：
深信服的SaaS XDR与分布式XDR采用同架构设计，使得分布式XDR能快速获取云端SaaS XDR快速迭代、快速验证有效的安全能力，增快硬件安全设备的有效安全能力迭代效率，让客户始终处于最前沿的防护状态。传统厂商硬件安全设备的安全能力迭代与效果验证周期较长，往往需要数周以上的多轮迭代和验证，安全能力才能现成真正有防御效果，且效果验证难度大，往往需要到客户环境验证才能得到有效的安全效果验证。
深信服SaaS XDR利用了云原生架构、灰度/影子技术，促进安全能力天级迭代发布部署和检验效果，形成一个不断增强和不断往前迭代的安全能力飞轮，使我们能够快速追踪和适应安全威胁的快速演变。分布式XDR与SaaS XDR保持同架构设计，使得经过云端快速验证有效的新检测引擎能在第一时间同步到分布式XDR，比传统硬件安全设备厂商的安全能力迭代效率更快，使得分布式XDR具备SaaS XDR快速响应新的安全威胁能力。"
XDR支持采集的数据类型有哪些？,"深信服XDR遥测数据采集的类型分为三种，分别为网络侧遥测数据，终端侧遥测数据以及第三方数据，采集的数据以JSON或文件的格式上报。
其中网络侧遥测数据具体包含如下信息：
- SIP态势感知：脆弱性、服务探测、主机探测、网站攻击、后门通信、账号爆破、攻击利用、邮件攻击、DOS攻击、漏洞利用、黑客工具、异常流量。
- AF防火墙：网站攻击、漏洞攻击、业务风险、DOS攻击、勒索挖矿、僵尸网络、异常流量。
- STA探针：协议、NetFlow、少量Payload。
- SIP态势感知/AF防火墙/STA探针: 可疑日志。
- 云镜：资产、脆弱性数据

终端侧遥测数据具体包含如下信息：
- EDR/CWPP：传统杀毒类日志和IOA类日志。
- Windows：进程信息、网络连接、DNS查询、注册表修改、文件行为、服务信息、计划任务、账号信息、WMI（Windows 管理规范）、应用漏洞利用探针、API信息。
- Linux：文件、进程、驱动、系统调用、模块事件、脆弱性。

第三方数据具体包含如下信息：
AD域，VPN等日志，同时本地版 XDR平台具备广泛的第三方数据接入能力，能将用户现有的第三方设备日志接入做统一展示，保护用户原有投资。
- 支持第三方厂商：绿盟、天融信、启明、网御、奇安信、亚信、迪普、青藤等。
"
XDR对API的支持情况？,深信服XDR平台采用Istio作为统一的接入网关，Istio最初是由IBM、Google和Lyft开发的、一个完全开源的服务网格，作为透明的一层接入到现有的分布式应用程序里。它也是一个平台，拥有可以集成任何日志、遥测和策略系统的 API 接口。Istio多样化的特性使得能够成功且高效地运行分布式微服务架构，并提供保护、连接和监控微服务的统一方法。Istio 提供了对整个服务网格的行为洞察和操作控制的能力，以及一个完整的满足微服务应用各种需求的解决方案。包括服务发现、负载均衡、故障恢复、度量和监控等基本需求，和更复杂的运维需求，比如A/B测试、金丝雀发布、速率限制、访问控制和端到端认证等，具有较高的性能和极高的稳定性。
XDR如何传输数据？,"深信服XDR平台在数据上报和组件联动上采用两种自研的数据传输协议：
（１）数据上报：网络侧和终端侧组件上报的遥测数据通过深信服自研的加密协议进行传输，该协议基于HTTP/2和TLS加密，保障大批量数据传输时的性能和安全性。数据传输支持JSON、文件上传两种格式。
（２）组件联动：采用自研的https://grpc.io/双向流协议，gRPC是一个现代的、开源的远程过程调用 (RPC) 框架，基于https://developers.google.com/web/fundamentals/performance/http2协议。它使用户端和服务器应用程序能够透明地通信，并使构建连接系统变得更加容易，帮助我们构建具有高可见性的高度可扩展的系统，传输过程采用TLS加密保证传输过程中的安全性。gRPC双向流协议使得XDR平台和各联动组件之间可以异步通信，为“唯快不破”的安全场景提供了响应处置速度上的保障。组件联动还需要对唯一的组件ID进行认证，保障了平台、组件间通信的安全。"
XDR数据富化的能力？,"用户上传到XDR平台的数据形式各异，为了实现数据解析、ETL的标准化过程，深信服XDR平台提供了功能强大的解析算子、逻辑处理算子和标签算子。其中，解析算子目前支持多种格式的数据解析，包括CSV、KV、JSON、grok、正则、XML等格式，这些格式覆盖大多数企业数据分析的使用场景；数据过滤支持多字段、多条件进行组合，形成复杂的过滤条件，满足分析场景中灵活的需求；标签算子，可结合地理位置、资产信息、黑白名单和威胁情报等信息，为不同应用场景提供不同的选择，给原始数据添加对应的标签，富化形成结构化数据。
同时数据湖中具有安全分析平台，将网络侧收集的基本原始数据做初步筛选和转换，再进行存储，节约了存储成本的同时也为后续的分析能力提供基础。"
XDR的数据存储层是如何设计的？,深信服XDR通过Pulsar消息队列+ClickHouse数据库+深信服EDS构建业界先进的数据湖理念，轻松处理PB级海量数据。其中Pulsar拥有比Kafka更高的性能，可以轻松高效的收集数据；ClickHouse作为列式数据库，能够契合XDR平台对于数据中心的使用场景；通过采用深信服分布式存储EDS，构建全局、统一的数据湖数据信息平台，为XDR平台安全能力提供强有力的数据基础，并提供多种数据模型，构建应用、查询数据更加灵活。
XDR的消息中间件是怎样的？,"分布式计算环境下抽象数据输入的最佳实践就是消息队列，深信服XDR平台大部分采用Pulsar作为消息队列。Pulsar采用了分层的架构，解决了存储计算的松散耦合性，同时提供了很好的扩展性和可维护性，具备比Kafka更高的性能。Pulsar也通过订阅层的抽象，提供了统一的消息消费模型，特别是在Pulsar的设计之初，就注重对多租户的需求，提供了XDR业务需求的特性。
深信服XDR采用三层消息队列的架构设计，第一层是接入的原始JSON格式数据，经过富化后变为结构化的JSON数据，再进行序列化转换成AVRO格式最终存储在数据库当中。"
XDR如何实现数据持久化？,深信服XDR平台采用ClickHouse数据库存储热数据，ClickHouse是一个用于联机分析(OLAP)的列式数据库管理系统(DBMS)，提供毫秒级的日志检索分析体验。
ClickHouse有什么优势？,"１.多样化的表引擎：ClickHouse将存储部分进行了抽象，把存储引擎作为一层独立的接口。ClickHouse共拥有合并树、内存、文件、接口和其他6大类20多种表引擎，每一种表引擎都有着各自的特点，用户可以根据实际业务场景的要求，选择合适的表引擎使用。
２.列式存储：列式存储对于一款高性能数据库来说是必不可少的特性，ClickHouse 采用列式存储，这对于分析型请求非常高效。
３.数据压缩：由于 ClickHouse 采用列存储，相同列的数据属于同一类型，有利于获得更高的数据压缩比；ClickHouse支持 GZ、ZSTD 等通用压缩算法，还支持 Delta、DoubleDelta、Gorilla 等专用编码算法。
４.多级索引：列存用于裁剪不必要的字段读取，而索引则用于裁剪不必要的记录读取。ClickHouse 支持一级索引、二级索引等丰富的索引类型，从而在查询时尽可能的裁剪不必要的记录读取，提高查询性能。
５.向量化执行引擎：在支持列存的基础上，ClickHouse 实现了一套面向向量化处理的计算引擎，大量的处理操作都是向量化执行的，并且 ClickHouse 可利用 SIMD 指令进一步加速执行效率，这也是 ClickHouse 优于大量同类 OLAP 产品的重要因素之一。
６.完备的DBMS功能：ClickHouse拥有完备的管理功能，兼容ANSI SQL，并支持JDBC、ODBC等接口，同时具有权限控制、数据备份与恢复等功能。
７.近似查询：支持近似查询算法、数据抽样等近似查询方案，加速查询性能。
结合XDR平台具体业务特征，ClickHouse能够提供快速查询。主要存储与业务交换频率高的热数据，方便就近计算。"
XDR如何存储文件？,"数据湖采用深信服分布式存储EDS进行文件对象存储以及备份容灾能力。深信服 EDS 是一款软件定义的分布式存储，一个数据中心一套存储，向上广泛兼容应用，向下硬件解耦，容量灵活扩展；热、温、冷数据分级存储方案，并提供数据归档、销毁等生命周期管理策略，帮助XDR平台轻松应对海量数据管理挑战。天生多活架构，构建事前、事中、事后的故障闭环处理框架；同时深度融合深信服安全基因，内建体系化数据安全方案，轻松应对高级威胁。
在XDR平台中主要负责冷数据的存储如文件对象等，以及作为ClickHouse数据库的容灾备份，提升整个数据湖的可靠性。"
XDR具备哪些安全能力？,"深信服XDR平台的安全能力主要围绕“能力三叉戟”——威胁检测能力、关联分析能力、应急处置能力。通过对三个能力的深度覆盖，带来面对多种安全场景下的完整安全闭环的价值。
除此之外，还具备对风险的检测、融合、以及分析能力。"
XDR具备怎样的威胁检测能力？,"深信服XDR平台的威胁检测能力体现在终端侧能力、网络侧能力、平台能力三部分：
１.终端侧能力
传统终端侧威胁检测以规则作为主防检测手段，通过规则发现攻击，难以覆盖高级威胁，例如无文件攻击、模仿攻击（Mimicry）以及跨重启跨长时间窗口的APT攻击。深信服终端侧高级威胁检测能力通过在端侧采集全面的数据，包括终端、用户、文件、进程、行为等数据。数据在本地做分层，聚合有效数据上传至平台。结合用户真实环境做上下文强关联分析，提升攻击研判精准度。行为检测基于多事件复杂关联规则匹配算法，依靠IOA泛化行为规则提高已知和未知高级威胁攻击检测能力，补充复杂行为关联检测领域空白，构建行为检测防御层级，增强多层次纵深防御检测能力，帮助用户有效抵御已知和未知高级威胁攻击。
采用三级检测机制，呈漏斗状。
第一级是系统事件（Event）级别的事件检测，基于单个终端的明显攻击行为检测，输出分析；
第二级是多告警关联检测，是基于大量关联数据再深度检测，抑制误报；
第三级是跨终端多源检测，基于多终端、多源数据相互关联，重现攻击场景。
通过上述三级检测引擎，深信服XDR输出高质量的检测分析结果。
２.网络侧能力
网络侧基于流量采集和日志采集，通过WAF\IPS\PVS漏洞检测\威胁情报四种规则进行初步分析做数据标记和特征检测，之后再结合UEBA和AI中基础的威胁检测模型来进行匹配，快速定位出场景威胁如流行病毒、黑客工具、爆破、扫描、DGA等，针对一些更复杂的不规则的一些组合威胁攻击手段如攻击成功识别、自定义工具、0day漏洞利用、代理转发工具、隐秘隧道等，会基于整个会话流量进行检测，包括对流量的请求回显、特征异常关联、异常行为利用、多阶段攻击利用等行为进行完整回溯关联，最终定位出来异常风险。最后是基于优化算法模型，对一些典型的加密流量、0day漏洞利用特征进行优化检测，实现高检出低误报。
３.平台能力
平台能力包括网+端告警关联分析，将遥测数据聚合成故事线，驱动关注告警向注重事件的质变。将端、网、云等遥测数据进行故事线关联，构建完整的高质量的场景化数据链，以清晰呈现事件的全过程。以及SaaS能力赋能，将云端的威胁情报、专家能力下发到用户网络和终端，在当前安全“唯快不破”的态势下，云端能力即时更新，快速下发到本地，扭转了以往防落后于攻的不利局面，使得用户能够在安全对抗中抢占先机。云端专家7*24小时值守，也为企业安全运营大大降低了人力成本和门槛，给企业带来了省时、省力、省心的用户价值。
XDR平台还有一些功能性的检测能力，如安全事件回扫，帮助用户在发现威胁以后，回顾之前有没有被攻击过，从更大的时间线维度上研判攻击影响面，在应对APT攻击时显得尤为重要。以及自定义规则能力，支持用户根据自己的业务特点编写自定义检测规则，应对威胁更精准更灵活。"
XDR支持哪些关联分析能力？,"深信服XDR平台使用Flink CEP（Complex Event Processing复杂事件处理引擎）技术作为底层数据处理的核心，通过结合多种关联规则模板来实现复杂的CEP语义。将终端侧和网络侧收集的数据，与云端威胁情报、资产、时间等因子做时间线关联、因果推断，最终生成平台侧的关联事件。
对与组件强加强的告警信息，平台提供可视化和高可见性，结合精准详尽的处置响应建议，帮助安全运营人员提高效率，显著降低了MTTD（Mean Time To Detect，平均检测时间）/MTTR（Mean Time To Response，平均响应时间）。
对于组件弱加强的告警信息，平台通过多因子关联提升检测精度，有效降低告警误报量，针对原本单一网络侧或终端侧无法精准检测的攻击，如Webshell上传成功、RDP爆破成功等，网络和终端数据相互印证，互为补充，大幅提升了检测精度。
对于组件弱加弱的告警信息，平台对于二者进行整合，提升了威胁检测的覆盖广度，无论是低危的自动化脚本攻击，还是高危的高级持续威胁，在XDR平台下都将无处遁形。"
