question,origin_answer,polish_answer
XDR具备哪些安全能力？,"深信服XDR平台的安全能力主要围绕“能力三叉戟”——威胁检测能力、关联分析能力、应急处置能力。通过对三个能力的深度覆盖，带来面对多种安全场景下的完整安全闭环的价值。
除此之外，还具备对风险的检测、融合、以及分析能力。",深信服XDR平台具备以下安全能力：威胁检测能力、关联分析能力、应急处置能力。这三个能力形成了XDR的“能力三叉戟”，通过深度覆盖多种安全场景，实现了完整的安全闭环。除此之外，XDR平台还具备风险检测、融合和分析能力，使其能够全面应对各种安全风险。
XDR具备怎样的检测响应能力？,深信服XDR平台集中化了所有孤立的端网安全事件和威胁告警，进行统一管理。支持针对各类事件，借助平台提供的工具和流程，实现不同事件不同处置过程规范性的跟踪管理。,深信服XDR平台具备统一管理所有孤立的端网安全事件和威胁告警的能力。它支持针对各类事件的跟踪管理，并借助平台提供的工具和流程，实现不同事件不同处置过程规范性的跟踪管理。
XDR如何存储文件？,"数据湖采用深信服分布式存储EDS进行文件对象存储以及备份容灾能力。深信服 EDS 是一款软件定义的分布式存储，一个数据中心一套存储，向上广泛兼容应用，向下硬件解耦，容量灵活扩展；热、温、冷数据分级存储方案，并提供数据归档、销毁等生命周期管理策略，帮助XDR平台轻松应对海量数据管理挑战。天生多活架构，构建事前、事中、事后的故障闭环处理框架；同时深度融合深信服安全基因，内建体系化数据安全方案，轻松应对高级威胁。
在XDR平台中主要负责冷数据的存储如文件对象等，以及作为ClickHouse数据库的容灾备份，提升整个数据湖的可靠性。",数据湖采用深信服分布式存储EDS进行文件对象存储以及备份容灾能力。深信服 EDS 是一款软件定义的分布式存储，它在一个数据中心中提供一套存储，并且能够广泛兼容各种应用程序。它与硬件解耦，可以灵活扩展容量。此外，它还提供了热、温、冷数据分级存储方案，并提供数据归档、销毁等生命周期管理策略，以帮助XDR平台轻松应对海量数据管理挑战。深信服EDS采用天生多活架构，构建了事前、事中、事后的故障闭环处理框架。同时，它与深信服安全基因深度融合，提供了内建的体系化数据安全方案，能够轻松应对高级威胁。在XDR平台中，深信服EDS主要负责存储冷数据，例如文件对象，并作为ClickHouse数据库的容灾备份，从而提升了整个数据湖的可靠性。
XDR具备怎样的响应处置能力？,"深信服XDR平台提供响应原子操作，如杀死进程、隔离文件、禁用用户、终端隔离、注册表恢复等等，相较于传统粗暴的关机、断网处置，处置手段更精准、处置影响更小，避免对业务造成大幅影响。
在响应对象和筛选上深信服XDR通过响应对象智能推荐，对响应对象进行Attacker、C2、Scanner、Downloader等角色的划分，智能的推荐不同角色不同处置方式。同时内置SOAR微剧本，对简单的事件实现一键处置，提升安全运营效率也降低了运营人员门槛。
XDR平台同样支持自定义响应，终端会提供自定义IOA能力，用户可以有选择的设置能力以及对应响应的选项，自定义剧本编排，实现类似SOAR的响应方法。",深信服XDR平台具备多种响应处置能力。相较于传统的粗暴关机和断网处置方式，XDR平台提供了更精准、更小影响的响应原子操作，包括杀死进程、隔离文件、禁用用户、终端隔离、注册表恢复等等。通过智能推荐响应对象，XDR平台可以对不同的角色（如Attacker、C2、Scanner、Downloader）进行筛选，以提供不同的处置方式。此外，XDR平台还内置了SOAR微剧本，可以实现简单事件的一键处置，提高安全运营效率并降低运营人员的门槛。同时，XDR平台还支持自定义响应，用户可以根据需要设置自定义IOA能力和对应的响应选项，以及自定义剧本编排，实现类似SOAR的响应方法。通过这些响应处置能力，XDR平台可以更好地保护业务安全，避免对业务造成大幅影响。
XDR支持哪些关联分析能力？,"深信服XDR平台使用Flink CEP（Complex Event Processing复杂事件处理引擎）技术作为底层数据处理的核心，通过结合多种关联规则模板来实现复杂的CEP语义。将终端侧和网络侧收集的数据，与云端威胁情报、资产、时间等因子做时间线关联、因果推断，最终生成平台侧的关联事件。
对与组件强加强的告警信息，平台提供可视化和高可见性，结合精准详尽的处置响应建议，帮助安全运营人员提高效率，显著降低了MTTD（Mean Time To Detect，平均检测时间）/MTTR（Mean Time To Response，平均响应时间）。
对于组件弱加强的告警信息，平台通过多因子关联提升检测精度，有效降低告警误报量，针对原本单一网络侧或终端侧无法精准检测的攻击，如Webshell上传成功、RDP爆破成功等，网络和终端数据相互印证，互为补充，大幅提升了检测精度。
对于组件弱加弱的告警信息，平台对于二者进行整合，提升了威胁检测的覆盖广度，无论是低危的自动化脚本攻击，还是高危的高级持续威胁，在XDR平台下都将无处遁形。","深信服XDR平台使用Flink CEP（Complex Event Processing复杂事件处理引擎）技术作为底层数据处理的核心，通过结合多种关联规则模板来实现复杂的CEP语义。它将终端侧和网络侧收集的数据与云端威胁情报、资产、时间等因素进行时间线关联和因果推断，从而生成平台侧的关联事件。

对于强加强的告警信息，平台提供可视化和高可见性，同时结合精准详尽的处置响应建议，帮助安全运营人员提高效率，显著降低了平均检测时间（MTTD）和平均响应时间（MTTR）。

对于弱加强的告警信息，平台通过多因素关联提升检测精度，有效降低告警误报量。例如，在无法精准检测Webshell上传成功或RDP爆破成功等攻击的情况下，通过网络和终端数据相互印证，互为补充，大幅提升了检测精度。

对于弱加弱的告警信息，平台整合了网络和终端数据，提升了威胁检测的覆盖广度。无论是低危的自动化脚本攻击还是高危的高级持续威胁，在XDR平台下都将无处遁形。"
ClickHouse有什么优势？,"１.多样化的表引擎：ClickHouse将存储部分进行了抽象，把存储引擎作为一层独立的接口。ClickHouse共拥有合并树、内存、文件、接口和其他6大类20多种表引擎，每一种表引擎都有着各自的特点，用户可以根据实际业务场景的要求，选择合适的表引擎使用。
２.列式存储：列式存储对于一款高性能数据库来说是必不可少的特性，ClickHouse 采用列式存储，这对于分析型请求非常高效。
３.数据压缩：由于 ClickHouse 采用列存储，相同列的数据属于同一类型，有利于获得更高的数据压缩比；ClickHouse支持 GZ、ZSTD 等通用压缩算法，还支持 Delta、DoubleDelta、Gorilla 等专用编码算法。
４.多级索引：列存用于裁剪不必要的字段读取，而索引则用于裁剪不必要的记录读取。ClickHouse 支持一级索引、二级索引等丰富的索引类型，从而在查询时尽可能的裁剪不必要的记录读取，提高查询性能。
５.向量化执行引擎：在支持列存的基础上，ClickHouse 实现了一套面向向量化处理的计算引擎，大量的处理操作都是向量化执行的，并且 ClickHouse 可利用 SIMD 指令进一步加速执行效率，这也是 ClickHouse 优于大量同类 OLAP 产品的重要因素之一。
６.完备的DBMS功能：ClickHouse拥有完备的管理功能，兼容ANSI SQL，并支持JDBC、ODBC等接口，同时具有权限控制、数据备份与恢复等功能。
７.近似查询：支持近似查询算法、数据抽样等近似查询方案，加速查询性能。
结合XDR平台具体业务特征，ClickHouse能够提供快速查询。主要存储与业务交换频率高的热数据，方便就近计算。","１.多样化的表引擎：ClickHouse提供了多种表引擎，包括合并树、内存、文件、接口和其他6大类20多种表引擎。每一种表引擎都有着独特的特点，用户可以根据实际业务场景的要求选择合适的表引擎使用。

２.列式存储：ClickHouse采用列式存储，这对于分析型请求非常高效。

３.数据压缩：由于ClickHouse采用列存储，相同列的数据属于同一类型，有利于获得更高的数据压缩比。ClickHouse支持GZ、ZSTD等通用压缩算法，还支持Delta、DoubleDelta、Gorilla等专用编码算法。

４.多级索引：ClickHouse支持一级索引、二级索引等丰富的索引类型，从而在查询时尽可能地裁剪不必要的记录读取，提高查询性能。列存用于裁剪不必要的字段读取，而索引用于裁剪不必要的记录读取。

５.向量化执行引擎：ClickHouse实现了一套面向向量化处理的计算引擎，大量的处理操作都是向量化执行的，并且可以利用SIMD指令进一步加速执行效率。这也是ClickHouse优于大量同类OLAP产品的重要因素之一。

６.完备的DBMS功能：ClickHouse拥有完备的管理功能，兼容ANSI SQL，并支持JDBC、ODBC等接口。同时具备权限控制、数据备份与恢复等功能。

７.近似查询：ClickHouse支持近似查询算法、数据抽样等近似查询方案，可以加速查询性能。

结合XDR平台具体业务特征，ClickHouse能够提供快速查询。主要存储与业务交换频率高的热数据，方便就近计算。"
XDR平台具有怎样的开放性？,"深信服XDR通过两种方式提供对外开放性：Open API和AppStore。
OpenAPI通过在底层实现RESTful API接口，与第三方组件形成数据上报、联动处置下发、事件告警外发三种模式的数据交换，达到第三方能基于API来做开发的目的。数据上报主要用于第三方组件上报自身日志、告警、事件，XDR再分析展示的场景。联动处置下发主要用于XDR对事件进行处置闭环时，对端侧和网侧组件进行处置策略的下发，进行诸如文件隔离、IP封禁等操作。事件告警外发主要用于XDR对接其他运营平台或数据中心，将告警或事件外发至第三方平台。整个数据交换过程使用标准的OAuth认证，保证数据传输过程中的安全。
AppStore管理应用的生命周期，具有可拔插、可扩展、模块解耦的特性。管理包括应用开发、上架、下架、订阅、安装、配置、卸载的全过程，在前端添加第三方应用的跳转，用户选取对应的应用进行订阅，点击跳转后直接转到第三方应用的页面，同时事件也同步至第三方应用，方便进行后续操作。第三方应用如雾帜、默安蜜罐等等，可以给XDR带来联动响应处置和自动化、漏洞扫描和发现、资产管理、流程管理、威胁狩猎、主动诱捕等等拓展功能。","深信服XDR平台具有两种开放性：Open API和AppStore。

Open API通过实现底层的RESTful API接口，与第三方组件进行数据交换，包括数据上报、联动处置下发和事件告警外发。数据上报用于第三方组件上报自身的日志、告警和事件，以供XDR进行分析展示。联动处置下发用于XDR对事件进行处置闭环时，向对端侧和网侧组件下发处置策略，例如文件隔离和IP封禁。事件告警外发主要用于XDR与其他运营平台或数据中心对接，将告警或事件发送至第三方平台。整个数据交换过程使用标准的OAuth认证，确保数据传输的安全性。

AppStore管理应用的生命周期，具有可插拔、可扩展和模块解耦的特性。它负责应用的开发、上架、下架、订阅、安装、配置和卸载全过程。用户可以通过前端界面选择并订阅对应的应用，点击跳转后直接转到第三方应用的页面，同时事件也同步至第三方应用，方便进行后续操作。例如，第三方应用如雾帜、默安蜜罐等，可以给XDR带来联动响应处置和自动化、漏洞扫描和发现、资产管理、流程管理、威胁狩猎、主动诱捕等拓展功能。"
安全事件定性分析？,"用户能够经常看到XDR平台确实云端专家（XTH）在对于进行分析和看护，与原有XTH安全事件相比，对安全事件新增6W1H的事件定性分析，对安全事件的原因、目的、地点、时间、攻击者、方式进行详细描述。有了专家威胁定性，用户一眼就能看明白什么意思。安全事件按照进程树的视角进行安全分析安全事件详情页可以明显感知到。
DOP平台安全专家对安全事件进行审核后，给出专业事件分析详情。",安全事件定性分析是指XDR平台的云端专家（XTH）对安全事件进行分析和观察。相比于原有的XTH安全事件，新增了6W1H的事件定性分析，对安全事件的原因、目的、地点、时间、攻击者、方式进行了详细描述。通过专家的威胁定性，用户可以一目了然地理解安全事件的含义。此外，安全事件还按照进程树的视角进行了安全分析，用户可以在安全事件详情页中清楚地感知到这些信息。在DOP平台上，安全专家会对安全事件进行审核，并提供专业的事件分析详情。
什么是虚拟端，其作用是什么？,"虚拟端，又称为虚拟E+N故事线。XDR提供一种模拟E+N故事线的能力，针对没有装端的纯网络侧数据，通过开启虚拟E+N按钮，能够模拟出进程链信息,这些模拟的进程链则是根据XDR知识库获取而来。安全事件价值持续提升，售前测试和日常使用能够更加有效地展示E+N的能力，清晰的看到如果装端时，可以呈现出的效果。",虚拟端，又称为虚拟E+N故事线，是XDR提供的一种模拟E+N故事线的能力。在纯网络侧数据无法装端的情况下，可以通过开启虚拟E+N按钮来模拟进程链信息。这些模拟的进程链是根据XDR知识库获取而来的。虚拟端的作用是通过售前测试和日常使用，更加有效地展示E+N的能力，并清晰地展示在装端的情况下可以呈现的效果。这样可以提升安全事件的价值。
云端安全专家有什么作用？,进入指定安全事件详情，右上角有“咨询安全专家”功能，主要是提供人工安全运营专家的咨询服务，给用户带来更多case by case的安全事件解读、分析、研判以及响应处置等运营指导。,进入指定安全事件详情页面后，用户可以通过右上角的“咨询安全专家”功能，获得人工安全运营专家的咨询服务。这项服务主要为用户提供针对具体案例的安全事件解读、分析、研判以及响应处置等运营指导。通过与专家的交流和咨询，用户可以获得更加全面、详细的安全问题解答和指导。
XDR的安全业务层具备哪些功能？,"深信服XDR的安全业务层从安全事件闭环全流程为出发点，为用户提供精准、简介的可视化，以及便捷、高效的业务交互页面。
从深信服提出的创新理念攻击面管理出发，XDR平台打破了传统厂商的资产管理和漏洞管理框架，从攻击者视角看来，能够被攻击者利用以发起攻击，进而对业务造成安全风险的所有攻击点，都是攻击面管理的内容，包含资产、脆弱性等等，维度更广泛，使得XDR平台在攻防对抗中更有主动权。支持对资产进行脆弱性评估，以及热点漏洞推送和自检能力，帮助用户在在攻防对抗中抢占先机。
平台的威胁调查中心提供日志、告警、事件管理功能，平台集中化了所有孤立的端网安全事件和威胁告警，进行统一管理。支持针对各类事件，借助平台提供的工具和流程，实现不同事件不同处置过程规范性的跟踪管理。对日志、告警、安全事件实现多种筛选条件的检索。
安全闭环功能使得用户对威胁进行处置和响应。深信服XDR平台对于告警和安全事件提供ATT&CK矩阵中对应精准技战术的响应处置建议。同时支持在线实时聊天框或离线留言咨询攻防专家，获取云端专家支持。平台通过API接口，联动AF，EDR或CWPP，下发处理动作完成对告警事件的处置，提升业务系统的安全系数，及响应处置的速度与准确性。
配置设备管理可以管理与XDR对接的安全组件及对接数据，包括第三方组件，设备管理页面需要二次认证，保障平台及联动组件安全。
安全可视中心提供丰富的图表可视化，包括安全事件总览、监控大屏、自定义可视化中心，可清楚明晰安全态势和事件处置方向。","深信服XDR的安全业务层从安全事件闭环全流程为出发点，为用户提供精准、简介的可视化，以及便捷、高效的业务交互页面。

从深信服提出的创新理念攻击面管理出发，XDR平台打破了传统厂商的资产管理和漏洞管理框架。从攻击者视角看来，能够被攻击者利用以发起攻击，进而对业务造成安全风险的所有攻击点，都是攻击面管理的内容，包含资产、脆弱性等等。维度更广泛，使得XDR平台在攻防对抗中更有主动权。它支持对资产进行脆弱性评估，并提供热点漏洞推送和自检能力，帮助用户在攻防对抗中抢占先机。

XDR平台的威胁调查中心提供日志、告警、事件管理功能，集中化了所有孤立的端网安全事件和威胁告警，并进行统一管理。它支持针对各类事件的不同处置过程规范性的跟踪管理，通过平台提供的工具和流程来实现。用户可以使用平台提供的多种筛选条件对日志、告警、安全事件进行检索。

安全闭环功能使得用户能够对威胁进行处置和响应。深信服XDR平台针对告警和安全事件提供ATT&CK矩阵中对应精准技战术的响应处置建议。同时，它也支持在线实时聊天框或离线留言咨询攻防专家，以获取云端专家支持。通过API接口，平台可以联动AF、EDR或CWPP，下发处理动作来完成对告警事件的处置，从而提升业务系统的安全系数，并提高响应处置的速度和准确性。

配置设备管理可以对与XDR对接的安全组件及对接数据进行管理，包括第三方组件。设备管理页面需要进行二次认证，以保障平台及联动组件的安全。

安全可视中心提供丰富的图表可视化，包括安全事件总览、监控大屏、自定义可视化中心，能够清晰明了地展示安全态势和事件处置方向。"
如何威胁模拟的作用？,"主要用于快速生成XDR平台内置样例事件，产生安全告警以及安全事件，体验XDR平台安全分析能力以及研判模拟。威胁模拟一共有两种模式，分为样例事件体验以及下载测试脚本。
场景一：通过样例事件体验，平台直接生成样例安全告警、安全事件。
使用说明：点击安全事件处理->威胁模拟，在弹出窗口中点击立即体验。XDR平台在几秒之内生成样例数据，事件名称以样例事件开头，比如样例事件-Shiro反序列化攻击，可以通过条件快速进行过滤展示。
体验完成之后，可以勾选所有样例事件在标记状态中选择忽略，下次体验时重新通过上述方式生成样例事件。
场景二：通过下载测试脚本体验，本脚本主要用于在主机上模拟已失陷的场景，在主机上触发失陷主机恶意行为，上报至XDR之后进行关联分析，产生安全事件。
点击安全事件处理->威胁模拟按钮，在弹出窗口中点击去下载，在深信服社区中下载对应的测试脚本 XDR_POC_Script_V1.5.zip。将下载的样本在已安装了EDR或者CWPP的agent终端（推荐Windows10）上进行执行。为了真实模拟已失陷的场景下攻击绕过场景，需要在执行脚本前进行一些EDR(CWPP不需要)初始化操作。
EDR侧配置：EDR服务端(MGR)策略中心病毒查杀设置仅上报不处置，实时防护设置仅上报不处置。
最后需要到安装agent的终端（推荐Windows10）上取消告警弹窗。
完成初始化操作之后，在安装agent的终端（推荐Windows10）上双击运行样本，详细执行过程可参考弹出窗口中的视频。","威胁模拟主要用于快速生成XDR平台内置样例事件，产生安全告警和安全事件，以便用户体验XDR平台的安全分析能力和研判模拟。威胁模拟有两种模式，一是通过样例事件体验，二是通过下载测试脚本体验。

在样例事件体验中，用户点击安全事件处理->威胁模拟，然后在弹出窗口中选择立即体验。XDR平台会在几秒内生成样例数据，事件名称以样例事件开头，例如“样例事件-Shiro反序列化攻击”。用户可以通过条件快速进行过滤和展示。体验完成后，用户可以勾选所有样例事件，并在标记状态中选择忽略，下次体验时可以重新生成样例事件。

在下载测试脚本体验中，用户点击安全事件处理->威胁模拟按钮，然后在弹出窗口中选择去下载。在深信服社区中下载对应的测试脚本 XDR_POC_Script_V1.5.zip。下载的样本需要在已安装了EDR或CWPP的agent终端（推荐Windows10）上执行。为了真实模拟已失陷的场景下攻击绕过场景，执行脚本前需要进行一些EDR的初始化操作（CWPP不需要）。

EDR侧配置：EDR服务端(MGR)策略中心病毒查杀设置仅上报不处置，实时防护设置仅上报不处置。

最后，需要在安装了agent的终端（推荐Windows10）上取消告警弹窗。完成初始化操作后，双击运行样本，在弹出窗口中的视频中可以查看详细的执行过程。"
XDR与第三方设备的融合能力？,多源融合告警能力是讲XDR支持接入第三方设备，在告警详情中需要对深信服设备告警和第三方告警的融合处理能力。这样用户可以看到全网的安全设备的告警并能进行统一化的安全处置响应和研判，保障重点的高价值安全告警不会被漏过。,多源融合告警能力是指XDR支持接入第三方设备，并能对深信服设备告警和第三方告警进行融合处理。这样一来，用户可以在告警详情中看到全网安全设备的告警，并能进行统一化的安全处置响应和研判。这种融合能力的存在可以确保重要的高价值安全告警不会被漏过。
XDR的安全可视化达到了什么程度？,"深信服XDR可视化以丰富的图形表格结合和多维度的统计，展示网络安全动态，并实现统计数据的反查、钻取和对比等。
１.安全风险总览
平台首页展示风险总览，包括安全事件总览、资产统计、接入设备展示包括不仅限于防火墙、探针、EDR、CWPP，待处置安全事件TOP5、云端威胁狩猎报告总览、攻击面TOP5、脆弱性资产TOP5、风险资产分布及风险资产发生趋势、待处置安全事件分布及安全事件发生趋势，可清楚明晰下一步处置方向。
2．监控大屏
监控大屏支持不同安全视角展示4个独立的大屏展示功能 ，包括安全告警态势大屏、资产态势大屏、综合安全态势大屏、攻击态势大屏等。面对不同用户和对象的需求可以展示不同大屏，一张屏幕看清当前安全运营全局态势。
3．可视化中心
可视化中心支持自定义，自定义分为可视化组件、仪表盘、报告三部分。
（１）可视化组件：包括资产范围、图表类型、聚合维度、度量模式、字段定义等。
（２）仪表盘：可圈定资产范围，内置安全告警试图、资产视图、脆弱性风险视图、风险资产视图等模板，展示图表样例包括条形图、水平条形图、趋势图、饼图、表格、指标、markdown等，可编辑背景及标题样式，可全局预览。
（３）报告：自定义报告生成，包括时间、报告组件、可视化模块、图标设置及文字编辑，可上传自定义页眉和自动化目录生成，支持预览和导出。","XDR的安全可视化达到了什么程度？

深信服XDR提供了丰富的图形表格结合和多维度的统计，以展示网络安全动态。它实现了统计数据的反查、钻取和对比等功能。

具体来说，XDR的安全可视化主要包括以下几个方面：

1. 安全风险总览：平台首页展示了风险总览，其中包括安全事件总览、资产统计、接入设备（如防火墙、探针、EDR、CWPP）展示等。此外，还提供了待处置安全事件TOP5、云端威胁狩猎报告总览、攻击面TOP5、脆弱性资产TOP5、风险资产分布及风险资产发生趋势、待处置安全事件分布及安全事件发生趋势等功能，用于清晰明晰下一步处置方向。

2. 监控大屏：XDR支持不同安全视角展示4个独立的大屏展示功能，包括安全告警态势大屏、资产态势大屏、综合安全态势大屏、攻击态势大屏等。用户可以根据不同的需求选择展示不同的大屏，从而全面了解当前的安全运营全局态势。

3. 可视化中心：XDR的可视化中心支持自定义，主要包括可视化组件、仪表盘和报告三个部分。

- 可视化组件：用户可以自定义资产范围、图表类型、聚合维度、度量模式、字段定义等内容。

- 仪表盘：XDR内置了多个模板，用户可以根据需要选择资产范围，并展示安全告警视图、资产视图、脆弱性风险视图、风险资产视图等图表样例，包括条形图、水平条形图、趋势图、饼图、表格、指标和markdown等。用户还可以编辑背景及标题样式，并进行全局预览。

- 报告：XDR支持自定义报告生成，用户可以自主设置时间、报告组件、可视化模块、图标设置及文字编辑等内容。此外，还支持上传自定义页眉和自动化目录生成，用户可以进行预览和导出报告。

通过以上功能，深信服XDR实现了安全可视化的多样化展示和定制化需求，提供了一种直观、全面的方式来理解和分析网络安全动态。"
XDR的安全事件处理机制？,"安全事件的展示包括事件的名称、处置状态、事件等级、威胁标签、数据源等进行筛选展示，事件名称包含事件ID，事件类型标签，Threat Hunting标签等。安全事件详情总览，包括安全事件名称，安全事件等级、数据源、处置状态、事件编号、告警举证数、资产IP、事件描述等，同时提供ATT&CK命中缩略图、攻击故事线、告警详情、响应处置、攻击入口还原、业务攻击面分析的展示，可在详情总览实现一键封禁地址、隔离主机、咨询安全专家等更多操作。
    在事件页看到ATT&CK攻击矩阵攻击命中全景图，可清晰了解安全事件中被黑客技战术利用的情况，可查阅命中技术ID、命中次数、技术描述和参考来源，利用安全业界“通用语言”ATT&CK矩阵。
    通过安全事件详情查看攻击故事线、安全事件按照进程树的视角进行安全分析。可详细点开进程链中任意进程查看进程详情，包括基础信息、威胁告警、网络连接行为、文件行为、域名访问行为、模块加载行为。安全事件告警可查询事件聚合相关的举证信息，告警详情可展示告警描述、告警数据源、告警ID、攻击子类型、攻击阶段、检测引擎、关联事件数、最近发生时间和全部字段等。同时提供处置建议及ATT&CK缓解措施，支持一键封禁IP、标为误报、和其他更多操作。","安全事件处理机制主要包括以下几个方面的展示和操作： 

1. 事件展示：通过对事件的名称、处置状态、事件等级、威胁标签、数据源等进行筛选展示，用户可以快速了解事件的基本信息。事件名称包含了事件ID、事件类型标签和Threat Hunting标签等，为用户提供更详细的分类信息。

2. 事件详情总览：用户可以查看安全事件的详细信息，包括安全事件名称、安全事件等级、数据源、处置状态、事件编号、告警举证数、资产IP、事件描述等。此外，还提供了ATT&CK命中缩略图、攻击故事线、告警详情、响应处置、攻击入口还原、业务攻击面分析等功能，方便用户更全面地了解和分析安全事件。

3. ATT&CK攻击矩阵：在事件页中，用户可以查看ATT&CK攻击矩阵攻击命中全景图，以清晰了解安全事件中被黑客技战术利用的情况。用户可以查阅命中技术ID、命中次数、技术描述和参考来源，利用安全业界“通用语言”ATT&CK矩阵，更深入地了解攻击的技术细节。

4. 攻击故事线和安全分析：通过安全事件详情，用户可以查看攻击故事线和安全事件按照进程树的视角进行安全分析。用户可以详细点开进程链中的任意进程，查看进程详情，包括基础信息、威胁告警、网络连接行为、文件行为、域名访问行为、模块加载行为等。这有助于用户深入了解攻击的过程和影响。

5. 告警信息和处置建议：安全事件的告警信息可以查询事件聚合相关的举证信息。告警详情展示了告警描述、告警数据源、告警ID、攻击子类型、攻击阶段、检测引擎、关联事件数、最近发生时间和全部字段等。同时还提供处置建议及ATT&CK缓解措施，支持用户进行一键封禁IP、标为误报等操作。"
XDR安全事件展示形式？,"安全事件页面以列表形式展示：
(1)安全事件，客户关注的少量精准高威胁的高质量告警，可以是单条生成，或多条多类源告警聚合生成。安全事件处理导航栏支持以24小时、7天等频率展示该统计时间安全事件结列表；支持以15秒、1分钟、5分钟等刷新频率自动刷新展示安全事件，在重保等关键时期，可以设置自动刷新频率，不需要人为手动点击，省去重复性点击动作，帮助您更好聚焦安全事件研判。
(2)在安全事件导航栏支持以事件等级（严重、高危、中危、中危等）、事件定性（业务不规范、风险暴露、自动化攻击、病毒事件、内部渗透测试、上级监管事件、攻防演练事件、定性攻击事件等）、标签（事件标签如邮件攻击、账号爆破、流量异常等）、数据源（NDR、EDR、EDR&NDR、第三方等）以及处置状态进行初步筛选。
(3)如果需要更精准进行过滤，XDR提供简易模式搜索，按照可视化编程，筛选关键字填入对应参数进行快速过滤，让您更容易上手使用。
(4)针对安全事件的操作主要有以下几种，分别为：一键遏制、标记状态、发起工单、执行SOAR以及威胁根除。其中一键遏制代表联动组件对安全事件中威胁实体进行快速遏制；标记状态代表对安全事件进行状态标记，比如标为待处置、标为处置中、挂起、忽略等；发起工单代表创建的工单模板下发和流转处置任务，实现任务流程的可视化、提高团队协作效率；执行SOAR代表联动第三方设备处置，根据事先定义好的剧本编排进行自动化或半自动化事件处置流程，提升安全事件的标准化；威胁根除代表根据平台提取的全量事件威胁实体，彻底清除进程、注册表、WMI等持久化项，通常要求处置人员具备较强的安全分析能力。 ","安全事件页面以列表形式展示，提供了多种方式来展示和筛选安全事件。
首先，安全事件可以是单条生成，也可以是多条多类源告警聚合生成。可以通过设置统计时间来展示安全事件的列表，支持以24小时、7天等频率展示。此外，还可以设置自动刷新频率，如15秒、1分钟、5分钟等，在重保等关键时期，可以设置自动刷新频率，省去重复性点击动作，帮助用户更好地聚焦安全事件的研判。

其次，在安全事件导航栏上，可以通过事件等级（严重、高危、中危、低危等）、事件定性（业务不规范、风险暴露、自动化攻击、病毒事件、内部渗透测试、上级监管事件、攻防演练事件、定性攻击事件等）、标签（如邮件攻击、账号爆破、流量异常等）、数据源（NDR、EDR、EDR&NDR、第三方等）以及处置状态进行初步筛选。

如果需要更精准地进行过滤，XDR提供了简易模式搜索，用户可以按照可视化编程的方式，填入关键字进行快速过滤，让用户更容易上手使用。

针对安全事件，可以进行以下操作：一键遏制、标记状态、发起工单、执行SOAR以及威胁根除。一键遏制是指联动组件对安全事件中的威胁实体进行快速遏制；标记状态可以对安全事件进行状态标记，如标为待处置、标为处置中、挂起、忽略等；发起工单可以创建工单模板并下发和流转处置任务，实现任务流程的可视化，提高团队协作效率；执行SOAR是指联动第三方设备进行处置，根据事先定义好的剧本编排进行自动化或半自动化的事件处置流程，提升安全事件的标准化；威胁根除是指根据平台提取的全量事件威胁实体，彻底清除进程、注册表、WMI等持久化项，通常要求处置人员具备较强的安全分析能力。"
